iter	Logloss
0	0.6543409
1	0.6168424786
2	0.5820858252
3	0.5502240359
4	0.5208776228
5	0.4951221453
6	0.471831435
7	0.4503634009
8	0.4308708215
9	0.4121789425
10	0.3967716086
11	0.3810241714
12	0.3669413168
13	0.3541138895
14	0.341876596
15	0.3304897194
16	0.3204946684
17	0.3111838696
18	0.3018544494
19	0.2940622366
20	0.2857477323
21	0.2795984861
22	0.2730287613
23	0.2675479222
24	0.2613673231
25	0.2563878539
26	0.2505509673
27	0.2459983823
28	0.2416132113
29	0.2371743179
30	0.2340096121
31	0.2308553969
32	0.2270384463
33	0.2241324371
34	0.2215762287
35	0.2190030051
36	0.2168892681
37	0.2147207972
38	0.2123946295
39	0.2104073156
40	0.2086775086
41	0.2071104951
42	0.2054035335
43	0.2039838451
44	0.2025268346
45	0.200932236
46	0.1996046631
47	0.1984472609
48	0.1968308084
49	0.1959137392
50	0.1949652377
51	0.1940759717
52	0.1933915807
53	0.192582234
54	0.1918403527
55	0.1909223514
56	0.1899988569
57	0.1888342956
58	0.1881867707
59	0.1874379088
60	0.186980108
61	0.1862584147
62	0.1856770265
63	0.1848703768
64	0.184348581
65	0.1835746527
66	0.1830319549
67	0.1824475721
68	0.1819998256
69	0.1815083913
70	0.1809798529
71	0.1807432481
72	0.1801965841
73	0.1799538118
74	0.1795988153
75	0.1793989774
76	0.1791004996
77	0.1788043221
78	0.1784497421
79	0.1778091184
80	0.177348442
81	0.177178668
82	0.1768369584
83	0.1764531077
84	0.1762026608
85	0.1758923636
86	0.1756555605
87	0.1752169165
88	0.1749248441
89	0.1745259614
90	0.1743860531
91	0.1742158031
92	0.1738796065
93	0.1737271451
94	0.1733280046
95	0.1732132024
96	0.1730297846
97	0.1728575515
98	0.1726696122
99	0.1724947812
100	0.1723994333
101	0.1722264467
102	0.1720514968
103	0.1718757139
104	0.1715926647
105	0.1714450023
106	0.1712536323
107	0.17112475
108	0.1709865074
109	0.1708346409
110	0.170722377
111	0.1705629945
112	0.1704298287
113	0.1702724095
114	0.1701708941
115	0.1701016835
116	0.169961914
117	0.1698371367
118	0.1697306437
119	0.1695709836
120	0.1694454726
121	0.1691124688
122	0.1689781528
123	0.1688622004
124	0.1688108775
125	0.1687164418
126	0.1684487815
127	0.1683554167
128	0.1682469604
129	0.1681526636
130	0.16798519
131	0.1678369129
