iter	Passed	Remaining
0	51	51025
1	87	43649
2	129	43143
3	178	44437
4	220	43785
5	265	43939
6	302	42876
7	339	42085
8	382	42072
9	427	42296
10	465	41821
11	506	41674
12	544	41307
13	582	41023
14	625	41071
15	663	40834
16	705	40792
17	739	40369
18	778	40206
19	814	39895
20	858	40025
21	913	40607
22	952	40455
23	997	40552
24	1041	40606
25	1080	40492
26	1125	40566
27	1166	40487
28	1205	40362
29	1247	40340
30	1286	40217
31	1325	40093
32	1366	40040
33	1406	39949
34	1448	39948
35	1491	39936
36	1533	39904
37	1575	39880
38	1619	39907
39	1655	39743
40	1700	39779
41	1740	39706
42	1786	39765
43	1826	39688
44	1870	39703
45	1917	39758
46	1961	39772
47	2004	39758
48	2053	39858
49	2097	39849
50	2139	39820
51	2183	39809
52	2224	39738
53	2265	39682
54	2309	39677
55	2346	39557
56	2388	39519
57	2430	39479
58	2476	39499
59	2519	39465
60	2559	39394
61	2596	39284
62	2635	39193
63	2674	39108
64	2715	39064
65	2764	39119
66	2811	39155
67	2855	39140
68	2918	39382
69	2958	39300
70	2991	39137
71	3031	39072
72	3073	39023
73	3117	39010
74	3161	38991
75	3201	38919
76	3239	38835
77	3284	38819
78	3325	38774
79	3371	38774
80	3414	38742
81	3462	38760
82	3498	38655
83	3542	38627
84	3583	38578
85	3622	38494
86	3661	38424
87	3708	38431
88	3757	38462
89	3796	38391
90	3840	38361
91	3884	38342
92	3929	38326
93	3970	38265
94	4009	38195
95	4046	38100
96	4086	38046
97	4132	38032
98	4171	37968
99	4215	37941
100	4261	37931
101	4301	37865
102	4343	37825
103	4384	37777
104	4426	37728
105	4468	37689
106	4509	37635
107	4552	37599
108	4594	37559
109	4633	37490
110	4672	37423
111	4711	37353
112	4754	37317
113	4791	37239
114	4834	37203
115	4877	37171
116	4922	37151
117	4964	37107
118	5005	37058
119	5047	37011
120	5085	36946
121	5129	36913
122	5174	36892
123	5215	36847
124	5251	36763
125	5289	36687
126	5330	36643
127	5372	36602
128	5414	36560
129	5459	36536
130	5505	36522
131	5546	36472
132	5583	36399
133	5624	36348
134	5669	36324
135	5717	36320
136	5765	36320
137	5809	36288
138	5859	36293
139	5905	36279
140	5949	36247
141	5988	36183
142	6028	36130
143	6076	36123
144	6119	36081
145	6158	36024
146	6204	36001
147	6245	35952
148	6291	35933
149	6332	35886
150	6377	35858
151	6422	35828
152	6465	35792
153	6507	35751
154	6553	35728
155	6594	35675
156	6631	35609
157	6675	35574
158	6717	35533
159	6762	35503
160	6810	35491
161	6846	35415
162	6895	35408
163	6941	35386
164	6983	35339
165	7019	35267
166	7061	35224
167	7108	35202
168	7152	35169
169	7195	35132
170	7236	35082
171	7275	35022
172	7314	34964
173	7354	34910
174	7401	34890
175	7438	34827
176	7480	34779
177	7528	34764
178	7566	34706
179	7609	34663
180	7655	34639
181	7700	34609
182	7749	34596
183	7794	34565
184	7839	34536
185	7891	34536
186	7934	34494
187	7984	34487
188	8024	34432
189	8067	34394
190	8105	34330
191	8152	34307
192	8194	34262
193	8234	34209
194	8276	34165
195	8313	34101
196	8356	34062
197	8397	34014
198	8437	33961
199	8477	33911
200	8520	33870
201	8559	33815
202	8600	33767
203	8645	33734
204	8686	33685
205	8734	33667
206	8774	33612
207	8810	33546
208	8846	33483
209	8892	33452
210	8941	33436
211	8981	33382
212	9020	33328
213	9058	33271
214	9096	33212
215	9136	33163
216	9171	33093
217	9211	33043
218	9256	33011
219	9301	32976
220	9345	32942
221	9382	32880
222	9446	32914
223	9491	32880
224	9530	32826
225	9569	32773
226	9606	32711
227	9652	32681
228	9701	32663
229	9746	32631
230	9790	32594
231	9830	32543
232	9877	32515
233	9919	32472
234	9963	32432
235	10018	32431
236	10081	32455
237	10132	32439
238	10172	32390
239	10208	32327
240	10254	32295
241	10299	32261
242	10345	32227
243	10384	32174
244	10423	32121
245	10498	32177
246	10542	32138
247	10576	32070
248	10609	31999
249	10641	31925
250	10676	31859
251	10709	31787
252	10744	31723
253	10777	31653
254	10811	31586
255	10855	31549
256	10897	31503
257	10936	31453
258	10978	31409
259	11023	31373
260	11064	31329
261	11110	31296
262	11152	31252
263	11189	31194
264	11231	31150
265	11270	31098
266	11306	31039
267	11343	30984
268	11382	30930
269	11425	30890
270	11469	30853
271	11514	30818
272	11553	30766
273	11591	30713
274	11633	30669
275	11679	30637
276	11723	30599
277	11765	30555
278	11803	30503
279	11845	30459
280	11894	30434
281	11932	30380
282	11972	30332
283	12012	30286
284	12061	30259
285	12099	30206
286	12143	30168
287	12187	30130
288	12227	30082
289	12270	30041
290	12306	29984
291	12346	29936
292	12383	29881
293	12427	29844
294	12468	29798
295	12510	29754
296	12550	29706
297	12590	29659
298	12635	29623
299	12682	29592
300	12725	29552
301	12766	29506
302	12807	29460
303	12843	29405
304	12888	29369
305	12932	29330
306	12969	29276
307	13015	29243
308	13054	29192
309	13094	29144
310	13138	29107
311	13179	29062
312	13227	29032
313	13266	28983
314	13312	28949
315	13354	28907
316	13389	28849
317	13430	28803
318	13474	28765
319	13516	28723
320	13555	28673
321	13597	28630
322	13635	28580
323	13677	28536
324	13718	28491
325	13761	28450
326	13799	28401
327	13837	28349
328	13877	28303
329	13919	28261
330	13961	28217
331	13999	28168
332	14045	28134
333	14086	28089
334	14125	28039
335	14166	27994
336	14202	27940
337	14243	27896
338	14283	27849
339	14326	27811
340	14372	27775
341	14422	27748
342	14468	27714
343	14514	27679
344	14558	27639
345	14600	27597
346	14647	27563
347	14692	27527
348	14737	27490
349	14779	27448
350	14818	27400
351	14858	27352
352	14892	27295
353	14932	27249
354	14968	27196
355	15016	27165
356	15055	27116
357	15090	27061
358	15131	27017
359	15164	26958
360	15200	26905
361	15236	26853
362	15280	26813
363	15312	26755
364	15345	26696
365	15377	26638
366	15412	26583
367	15445	26526
368	15482	26475
369	15517	26421
370	15550	26364
371	15584	26309
372	15616	26250
373	15654	26203
374	15689	26149
375	15730	26105
376	15765	26053
377	15801	26000
378	15838	25951
379	15878	25906
380	15922	25868
381	15956	25814
382	15992	25763
383	16027	25710
384	16067	25665
385	16108	25623
386	16145	25574
387	16179	25520
388	16217	25472
389	16248	25414
390	16285	25366
391	16323	25317
392	16358	25265
393	16392	25212
394	16437	25175
395	16474	25128
396	16511	25079
397	16554	25040
398	16591	24991
399	16633	24950
400	16669	24899
401	16706	24852
402	16741	24800
403	16775	24747
404	16818	24708
405	16854	24658
406	16897	24620
407	16937	24575
408	16976	24531
409	17014	24484
410	17053	24438
411	17089	24389
412	17125	24341
413	17160	24289
414	17199	24245
415	17237	24199
416	17275	24152
417	17311	24103
418	17342	24047
419	17382	24003
420	17437	23982
421	17470	23928
422	17505	23878
423	17542	23831
424	17577	23781
425	17613	23732
426	17649	23683
427	17693	23645
428	17727	23595
429	17763	23546
430	17797	23496
431	17833	23448
432	17871	23401
433	17909	23357
434	17945	23308
435	17984	23263
436	18022	23219
437	18063	23177
438	18107	23139
439	18144	23093
440	18179	23044
441	18214	22994
442	18248	22944
443	18280	22891
444	18312	22839
445	18343	22785
446	18376	22734
447	18413	22687
448	18451	22642
449	18485	22593
450	18519	22543
451	18555	22497
452	18592	22450
453	18627	22402
454	18660	22351
455	18700	22309
456	18739	22265
457	18780	22224
458	18814	22176
459	18855	22134
460	18893	22090
461	18935	22049
462	18974	22006
463	19014	21964
464	19052	21920
465	19085	21870
466	19121	21823
467	19154	21773
468	19184	21720
469	19219	21673
470	19256	21628
471	19295	21584
472	19331	21538
473	19377	21503
474	19418	21462
475	19455	21417
476	19488	21368
477	19522	21320
478	19556	21270
479	19590	21222
480	19626	21177
481	19668	21137
482	19707	21095
483	19740	21045
484	19777	21000
485	19810	20952
486	19852	20912
487	19910	20889
488	19944	20842
489	19979	20795
490	20032	20767
491	20070	20723
492	20106	20677
493	20146	20635
494	20179	20587
495	20217	20544
496	20252	20497
497	20287	20450
498	20319	20401
499	20357	20357
500	20388	20306
501	20424	20262
502	20460	20216
503	20497	20171
504	20542	20135
505	20582	20094
506	20619	20050
507	20659	20009
508	20699	19967
509	20737	19924
510	20772	19877
511	20806	19831
512	20845	19789
513	20889	19751
514	20928	19709
515	20966	19666
516	21005	19624
517	21059	19595
518	21102	19557
519	21141	19515
520	21180	19473
521	21220	19431
522	21258	19389
523	21298	19347
524	21336	19304
525	21365	19253
526	21404	19210
527	21439	19165
528	21473	19119
529	21508	19073
530	21543	19028
531	21578	18982
532	21629	18950
533	21659	18901
534	21693	18855
535	21736	18816
536	21770	18770
537	21811	18730
538	21846	18685
539	21887	18644
540	21923	18600
541	21963	18559
542	22002	18517
543	22034	18469
544	22068	18424
545	22102	18378
546	22135	18331
547	22169	18285
548	22213	18248
549	22245	18200
550	22282	18157
551	22319	18114
552	22356	18071
553	22393	18028
554	22428	17983
555	22466	17941
556	22502	17896
557	22532	17848
558	22567	17803
559	22602	17759
560	22637	17714
561	22673	17671
562	22708	17626
563	22742	17581
564	22780	17538
565	22812	17492
566	22849	17449
567	22892	17410
568	22926	17366
569	22963	17323
570	23006	17285
571	23054	17250
572	23096	17211
573	23133	17168
574	23171	17127
575	23230	17100
576	23269	17058
577	23307	17016
578	23355	16982
579	23389	16937
580	23422	16891
581	23461	16850
582	23505	16812
583	23537	16766
584	23575	16724
585	23612	16681
586	23651	16640
587	23691	16599
588	23728	16557
589	23776	16522
590	23815	16481
591	23861	16445
592	23900	16404
593	23938	16362
594	23976	16320
595	24011	16276
596	24046	16232
597	24082	16189
598	24114	16143
599	24145	16097
600	24182	16054
601	24223	16014
602	24257	15970
603	24293	15927
604	24327	15883
605	24361	15838
606	24400	15798
607	24436	15754
608	24475	15714
609	24510	15670
610	24549	15629
611	24588	15588
612	24626	15547
613	24662	15504
614	24698	15461
615	24730	15416
616	24764	15372
617	24800	15329
618	24837	15287
619	24873	15244
620	24903	15198
621	24943	15158
622	24975	15113
623	25012	15071
624	25051	15031
625	25087	14988
626	25125	14947
627	25166	14907
628	25210	14869
629	25247	14827
630	25288	14788
631	25328	14748
632	25362	14704
633	25398	14662
634	25435	14620
635	25474	14579
636	25508	14536
637	25544	14493
638	25579	14450
639	25610	14406
640	25645	14363
641	25681	14320
642	25722	14281
643	25759	14239
644	25796	14198
645	25827	14153
